cats,desc,img,link,price,sitename,specs,unit
|Pack Inc|Tape|Water Activate,"Intertape 3 X 450' Carton Master Reinforced Tape 10 Rl/ctn, 63 Ctn/sk",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/PI%20K71029,$13.38,bhid.com,{},RL
|Raw Materials|Shims|Shim Stock,PREBRA 22L15 50 L 6 W 0.015 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L15,$39.01,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.015 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL920 Ball Nozzle, 2 in FNPT Swivel x 2 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL920,$525.73,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""2 in FNPT Swivel x 2 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL066NS Ball Nozzle, 1-1/4 in FNPT Swivel x 1-1/4 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL066NS,$387.02,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""1-1/4 in FNPT Swivel x 1-1/4 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon 900W34B Agricultural Gravity Utility Nozzle, For Use With 12 V Truck Utility Pumps, 1 in FNPT x 3/4 in Bent Spout",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20900W34B,$51.03,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Agricultural"", ""Material"": ""Aluminum"", ""Suitable For Use With"": ""12 V Truck Utility Pumps"", ""Specifications"": ""1 in FNPT x 3/4 in Bent Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon Industrial Grade Spray Nozzle, 12.5 gpm, 150 psi, Stainless Steel",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20300SSSG,$429.12,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Industrial Grade"", ""Material"": ""Stainless Steel"", ""Flow Rating"": ""12.5 gpm"", ""Pressure Rating"": ""150 psi"", ""Temperature Rating"": ""200 deg F"", ""Warranty"": ""Limited""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon AL-TPR35-70 Turbo Nozzle, 1/4 in Female Inlet Connection, 30 gpm, 5075 psi, Brass, Gray",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20AL-TPR35-70,$192.53,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""1/4 in Female Inlet"", ""Material"": ""Brass"", ""Flow Rating"": ""30 gpm"", ""Pressure Rating"": ""5075 psi"", ""Temperature Rating"": ""195 deg F"", ""Overall Height"": ""1/4 in"", ""Overall Width"": ""1/4 in"", ""Color"": ""Gray""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon AL-TPR35-50 Turbo Nozzle, 1/4 in Female Inlet Connection, 30 gpm, 5075 psi, Brass, Purple",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20AL-TPR35-50,$192.53,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""1/4 in Female Inlet"", ""Material"": ""Brass"", ""Flow Rating"": ""30 gpm"", ""Pressure Rating"": ""5075 psi"", ""Temperature Rating"": ""195 deg F"", ""Overall Height"": ""1/4 in"", ""Overall Width"": ""1/4 in"", ""Color"": ""Purple""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon AL-TPR35-30 Turbo Nozzle, 1/4 in Female Inlet Connection, 30 gpm, 5075 psi, Brass, Dark Green",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20AL-TPR35-30,$192.53,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""1/4 in Female Inlet"", ""Material"": ""Brass"", ""Flow Rating"": ""30 gpm"", ""Pressure Rating"": ""5075 psi"", ""Temperature Rating"": ""195 deg F"", ""Overall Height"": ""1/4 in"", ""Overall Width"": ""1/4 in"", ""Color"": ""Dark Green""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon Turbo Nozzle, 1/4 in Female, 3625 psi, Purple, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20AL-TPR25-50,$124.15,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""1/4 in Female"", ""Pressure Rating"": ""3625 psi"", ""Temperature Rating"": ""195 deg F"", ""Warranty"": ""Limited"", ""Color"": ""Purple"", ""Domestic/Import"": ""Domestic""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon Turbo Nozzle, 1/4 in Female, 3625 psi, Dark Green, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20AL-TPR25-30,$124.15,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""1/4 in Female"", ""Pressure Rating"": ""3625 psi"", ""Temperature Rating"": ""195 deg F"", ""Warranty"": ""Limited"", ""Color"": ""Dark Green"", ""Domestic/Import"": ""Domestic""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon Flexible Water Nozzle, 3/4 in Garden Hose Thread, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%208005,$25.92,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Flexible"", ""Connection Type"": ""3/4 in Garden Hose Thread"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon DM150SDB Mini Spray Nozzle, 1/2 in FNPT Inlet Connection, 9.6 gpm at 100 psi, 150 psi, Stainless Steel, Dark Blue",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20DM150SDB,$152.28,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Mini"", ""Connection Type"": ""1/2 in FNPT Inlet"", ""Material"": ""Stainless Steel"", ""Flow Rating"": ""9.6 gpm at 100 psi"", ""Pressure Rating"": ""150 psi"", ""Temperature Rating"": ""200 deg F"", ""Color"": ""Dark Blue""}",EA
|Plumbing|Watering  Irrigation & Drainage|Watering Nozzles & Wand,"Dixon Brass Twist Nozzle, 3/4 in Garden Hose Thread, 150 psi, Brass, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20500AN7,$21.11,bhid.com,"{""Brand Name"": ""Dixon"", ""Connection Type"": ""3/4 in Garden Hose Thread"", ""Material"": ""Brass"", ""Pressure Rating"": ""150 psi"", ""Warranty"": ""Limited"", ""Overall Length"": ""6-3/4 in"", ""Domestic/Import"": ""Domestic""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,JACKSON SAFETY Welding 427 Polycarbonate Filter Lens Shade 10,,https://www.bhid.com//itemdetail/KIMCLA%2014560,$55.35,bhid.com,"{""Series"": ""Passive, 427"", ""Type"": ""Auto Darkening"", ""Material"": ""Polycarbonate"", ""Lens Shade"": ""SH10"", ""Size"": ""2 in W x 4-1/4 in L""}",CA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon 114D-AV-06ASM Overwing Aircraft Nozzle, 1-1/2 in FNPT x 1-1/4 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20114D-AV-06ASM,,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Overwing"", ""Material"": ""Aluminum"", ""Includes"": ""Fine Mesh Stainless Steel Screen Filter"", ""Specifications"": ""1-1/2 in FNPT x 1-1/4 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon 114D-AV Overwing Aircraft Nozzle, 1-1/4 in FNPT x 1-1/4 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20114D-AV,,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Overwing"", ""Material"": ""Aluminum"", ""Includes"": ""Fine Mesh Stainless Steel Screen Filter"", ""Specifications"": ""1-1/4 in FNPT x 1-1/4 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL066 Ball Nozzle, 1-1/4 in FNPT Swivel x 1-1/4 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL066,$398.72,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""1-1/4 in FNPT Swivel x 1-1/4 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL064 Ball Nozzle, 1-1/2 in FNPT Swivel x Quick Fill Nut, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL064,$444.40,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""1-1/2 in FNPT Swivel x Quick Fill Nut"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17S20 100 L 6 W 0.02 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017S20,$53.62,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""100 Inch"", ""Thickness"": ""0.020 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17S2 100 L 6 W 0.002 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017S2,$25.31,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""100 Inch"", ""Thickness"": ""0.002 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17S1 100 L 6 W 0.001 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017S1,$24.41,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""100 Inch"", ""Thickness"": ""0.001 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17980 2.5 M L 150 MM W 0.8 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017980,$79.74,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""2.5 M"", ""Thickness"": ""0.80 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17979 2.5 M L 150 MM W 0.65 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017979,$67.39,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""2.5 M"", ""Thickness"": ""0.65 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16AN7 18 L 6 W 0.007 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016AN7,$48.65,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""18 Inch"", ""Thickness"": ""0.007 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17978 2.5 M L 150 MM W 0.5 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017978,$56.54,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""2.5 M"", ""Thickness"": ""0.50 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16AN8 18 L 6 W 0.008 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016AN8,$49.88,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""18 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17974 2.5 M L 150 MM W 0.2 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017974,$34.07,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""2.5 M"", ""Thickness"": ""0.20 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 24243 242® 1-Part Medium Strength Threadlocker, 1 L Bottle, Liquid, Blue, 1.1000000000000001",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%2024243,$458.89,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""242"", ""Type"": ""1-Part Medium Strength"", ""Base Type"": ""Dimethacrylate Ester"", ""Container Type"": ""Bottle"", ""Applicable Material"": ""Metal"", ""Composition"": ""Polyglycol Dimethacrylate, Polyglycol Oleate, Saccharin, Silica, Amorphous, Fumed, Crystal-Free, Cumene Hydroperoxide, Propane-1,2-Diol, Cumene"", ""Curing Time"": ""24"", ""Flash Point"": "">199.94"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Mild"", ""Setting Time"": ""5"", ""Specific Gravity"": ""1.1"", ""Temperature Rating"": ""-65 to 300"", ""Tensile Strength"": ""110"", ""Viscosity Rating"": ""1200 to 5000"", ""VOC Content"": ""6.17"", ""Container Size"": ""1"", ""Color"": ""Blue""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 16052 98 Series Focal Power Magnifier Plate, 2 x 4-1/4 in, Clear, Plastic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/KIMCLA%2016052,$42.01,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""98 Series"", ""Type"": ""Focal Power"", ""Material"": ""Plastic"", ""Size"": ""2 x 4-1/4 in"", ""Color"": ""Clear""}",CA
|Raw Materials|Shims|Shim Stock,PREBRA 68395 100 L 6 W 0.008 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068395,$141.75,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68345 100 L 6 W 0.006 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068345,$128.07,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.006 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68320 100 L 6 W 0.005 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068320,$120.76,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.005 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68280 100 L 6 W 0.004 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068280,$111.44,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.004 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68245 100 L 6 W 0.003 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068245,$110.29,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.003 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68195 100 L 6 W 0.002 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068195,$97.40,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.002 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 68130 100 L 6 W 0.001 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2068130,$90.61,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Copper"", ""Length"": ""100 Inch"", ""Thickness"": ""0.001 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 23CY8 25 L 6 W 0.008 Thk Blue Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2023CY8,$40.88,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""25 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Color"": ""Blue"", ""Country Of Origin"": ""USA""}",PK
|Raw Materials|Shims|Shim Stock,PREBRA 23C4 50 L 5 W 0.004 Thk Roll Blue Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2023C4,$39.08,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.004 Inch"", ""Width"": ""5 Inch"", ""Color"": ""Blue"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LXX 60 L 6 W 0.0005 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LXX,$138.96,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""60 Inch"", ""Thickness"": ""0.0005 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LX3 60 L 6 W 0.003 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LX3,$40.73,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""60 Inch"", ""Thickness"": ""0.003 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LX25 60 L 6 W 0.025 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LX25,$78.14,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""60 Inch"", ""Thickness"": ""0.025 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 14571 Passive 427 Auto-Darkening Filter Lens, 4-1/4 in L x 2 in W, 5 Lens, Polycarbonate",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/KIMCLA%2014571,$55.35,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""Passive 427"", ""Type"": ""Auto-Darkening"", ""Material"": ""Polycarbonate"", ""Lens Shade"": ""5"", ""Size"": ""4-1/4 in L x 2 in W""}",CA
